,school,applicant_number,sat_low,sat_upper,accept_rate,rate
0,Stanford University,47452,1440.0,1570.0,4.3,top
1,Harvard College,42749,1460.0,1580.0,4.7,top
2,Princeton University,35370,1440.0,1570.0,5.5,top
3,Columbia University,40203,1450.0,1560.0,5.5,top
4,Yale University,36844,1460.0,1570.0,6.1,top
5,California Institute of Technology,8367,1530.0,1560.0,6.4,top
6,Massachusetts Institute of Technology,21706,1500.0,1570.0,6.7,top
7,Brown University,38674,1440.0,1570.0,7.1,top
8,University of Chicago,32283,1490.0,1570.0,7.3,top
9,Pomona College,10401,1390.0,1540.0,7.4,top
10,University of Pennsylvania,44961,1450.0,1560.0,7.7,top
11,Dartmouth College,23650,1440.0,1560.0,7.9,top
12,Bowdoin College,9332,1330.0,1520.0,8.8,top
13,Duke University,35767,1450.0,1570.0,8.9,top
14,Swarthmore College,11442,1380.0,1540.0,8.9,top
15,Northwestern University,40585,1440.0,1550.0,9.1,top
16,Vanderbilt University,37310,1460.0,1560.0,9.1,top
390,United States Naval Academy,16332,1140.0,1285.0,8.3,top
17,Claremont McKenna College,6066,1360.0,1510.0,10.3,good
18,Johns Hopkins University,29129,1470.0,1560.0,10.6,good
19,Cornell University,49114,1400.0,1560.0,10.9,good
20,Rice University,20923,1450.0,1560.0,11.1,good
21,Amherst College,10569,1410.0,1550.0,11.3,good
22,Barnard College,9320,1340.0,1520.0,11.8,good
23,Bates College,8222,1270.0,1480.0,12.1,good
24,University of California—​Los Angeles,111322,1290.0,1510.0,12.3,good
25,Tulane University,42185,1360.0,1520.0,12.9,good
26,University of Southern California,64352,1350.0,1530.0,13.0,good
27,Williams College,9560,1410.0,1550.0,13.0,good
28,Colby College,12313,1350.0,1510.0,13.0,good
29,Pitzer College,4358,1340.0,1490.0,13.3,good
30,Colorado College,9456,1300.0,1480.0,13.5,good
31,Harvey Mudd College,4045,1490.0,1570.0,13.7,good
32,Georgetown University,22872,1370.0,1530.0,14.5,good
33,University of California—​Berkeley,89621,1300.0,1530.0,14.8,good
34,Tufts University,22766,1390.0,1540.0,15.0,good
35,Washington University in St. Louis,31320,1470.0,1570.0,15.0,good
36,Middlebury College,9754,1360.0,1530.0,15.4,good
37,Carnegie Mellon University,27634,1460.0,1560.0,15.4,good
38,University of Notre Dame,22200,1400.0,1550.0,15.8,good
39,The Cooper Union,2447,1283.0,1510.0,16.0,good
40,New York University,79462,1370.0,1510.0,16.2,good
41,Haverford College,4963,1380.0,1540.0,16.3,good
42,Wesleyan University,13264,1320.0,1510.0,16.5,good
43,Hamilton College,8279,1370.0,1520.0,16.5,good
44,Northeastern University,62263,1390.0,1540.0,18.1,good
45,Davidson College,5982,1310.0,1485.0,18.1,good
46,Emory University,27559,1350.0,1520.0,18.5,good
47,Carleton College,7382,1360.0,1540.0,19.0,good
48,Georgia Institute of Technology,36856,1300.0,1510.0,20.6,good
