,state,sat_score,region,sat_required,participation,year
0,Alabama,1165,South,no,5.0,2017
1,Arizona,1116,West,no,30.0,2017
2,Arkansas,1208,South,no,3.0,2017
3,California,1055,West,no,53.0,2017
4,Colorado,1201,West,yes,11.0,2017
5,Connecticut,1041,Northeast,yes,100.0,2017
6,Delaware,996,South,yes,100.0,2017
7,District of Columbia,950,South,yes,100.0,2017
8,Florida,1017,South,no,83.0,2017
9,Georgia,1050,South,no,61.0,2017
10,Idaho,1005,West,yes,93.0,2017
11,Illinois,1115,Midwest,yes,9.0,2017
12,Indiana,1074,Midwest,no,63.0,2017
13,Iowa,1275,Midwest,no,2.0,2017
14,Kansas,1260,Midwest,no,4.0,2017
15,Kentucky,1247,South,no,4.0,2017
16,Louisiana,1198,South,no,4.0,2017
17,Maine,1012,Northeast,yes,95.0,2017
18,Massachusetts,1107,Northeast,no,76.0,2017
19,Michigan,1005,Midwest,yes,100.0,2017
20,Minnesota,1295,Midwest,no,3.0,2017
21,Mississippi,1242,South,no,2.0,2017
22,Missouri,1271,Midwest,no,3.0,2017
23,Montana,1196,West,no,10.0,2017
24,Nebraska,1253,Midwest,no,3.0,2017
25,Nevada,1116,West,no,26.0,2017
26,New Hampshire,1052,Northeast,yes,96.0,2017
27,New Jersey,1056,Northeast,no,70.0,2017
28,New Mexico,1138,West,no,11.0,2017
29,New York,1052,Northeast,no,67.0,2017
30,North Carolina,1081,South,no,49.0,2017
31,North Dakota,1256,Midwest,no,2.0,2017
32,Ohio,1149,Midwest,yes,12.0,2017
33,Oklahoma,1047,South,no,7.0,2017
34,Oregon,1108,West,no,43.0,2017
35,Pennsylvania,1071,Northeast,no,65.0,2017
36,Rhode Island,1062,Northeast,no,71.0,2017
37,South Carolina,1064,South,no,50.0,2017
38,South Dakota,1216,Midwest,no,3.0,2017
39,Tennessee,1228,South,yes,5.0,2017
40,Texas,1020,South,no,62.0,2017
41,Utah,1238,West,no,3.0,2017
42,Vermont,1114,Northeast,no,60.0,2017
43,Virginia,1102,South,no,65.0,2017
44,Washington,1075,West,no,64.0,2017
45,West Virginia,1086,South,no,14.0,2017
46,Wisconsin,1291,Midwest,no,3.0,2017
47,Wyoming,1230,West,no,3.0,2017
0,Alabama,1166,South,no,6.0,2018
1,Arizona,1149,West,no,29.0,2018
2,Arkansas,1169,South,no,5.0,2018
3,California,1076,West,no,60.0,2018
4,Colorado,1025,West,yes,100.0,2018
5,Connecticut,1053,Northeast,yes,100.0,2018
6,Delaware,998,South,yes,100.0,2018
7,District of Columbia,977,South,yes,92.0,2018
8,Florida,1099,South,no,56.0,2018
9,Georgia,1064,South,no,70.0,2018
10,Idaho,1001,West,yes,100.0,2018
11,Illinois,1019,Midwest,yes,99.0,2018
12,Indiana,1074,Midwest,no,63.0,2018
13,Iowa,1265,Midwest,no,3.0,2018
14,Kansas,1265,Midwest,no,4.0,2018
15,Kentucky,1248,South,no,4.0,2018
